territory,price,price_point_id
"NOR","399.0","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJOT1IiLCJwIjoiMTAxODcifQ"
"NPL","34.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJOUEwiLCJwIjoiMTAyNTIifQ"
"NRU","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJOUlUiLCJwIjoiMTAyMjcifQ"
"NZL","49.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJOWkwiLCJwIjoiMTAzMjYifQ"
"OMN","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJPTU4iLCJwIjoiMTAyMjcifQ"
"PAK","7900.0","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJQQUsiLCJwIjoiMTAzNzMifQ"
"PAN","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJQQU4iLCJwIjoiMTAyMjcifQ"
"PER","129.9","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJQRVIiLCJwIjoiMTAzNDIifQ"
"PHL","1990.0","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJQSEwiLCJwIjoiMTAzNTAifQ"
"PLW","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJQTFciLCJwIjoiMTAyMjcifQ"
"PNG","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJQTkciLCJwIjoiMTAyMjcifQ"
"POL","129.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJQT0wiLCJwIjoiMTAyOTcifQ"
"PRT","34.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJQUlQiLCJwIjoiMTAyNTIifQ"
"PRY","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJQUlkiLCJwIjoiMTAyMjcifQ"
"QAT","99.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJRQVQiLCJwIjoiMTAyODgifQ"
"ROU","149.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJST1UiLCJwIjoiMTAzMjMifQ"
"RUS","2490.0","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJSVVMiLCJwIjoiMTAzNzYifQ"
"RWA","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJSV0EiLCJwIjoiMTAyMjcifQ"
"SAU","129.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJTQVUiLCJwIjoiMTAzMjIifQ"
"SEN","34.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJTRU4iLCJwIjoiMTAyNTIifQ"
"SGP","39.98","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJTR1AiLCJwIjoiMTAyODcifQ"
"SLB","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJTTEIiLCJwIjoiMTAyMjcifQ"
"SLE","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJTTEUiLCJwIjoiMTAyMjcifQ"
"SLV","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJTTFYiLCJwIjoiMTAyMjcifQ"
"SRB","34.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJTUkIiLCJwIjoiMTAyNTIifQ"
"STP","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJTVFAiLCJwIjoiMTAyMjcifQ"
"SUR","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJTVVIiLCJwIjoiMTAyMjcifQ"
"SVK","34.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJTVksiLCJwIjoiMTAyNTIifQ"
"SVN","34.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJTVk4iLCJwIjoiMTAyNTIifQ"
"SWE","399.0","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJTV0UiLCJwIjoiMTAxODcifQ"
"SWZ","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJTV1oiLCJwIjoiMTAyMjcifQ"
"SYC","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJTWUMiLCJwIjoiMTAyMjcifQ"
"TCA","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJUQ0EiLCJwIjoiMTAyMjcifQ"
"TCD","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJUQ0QiLCJwIjoiMTAyMjcifQ"
"THA","999.0","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJUSEEiLCJwIjoiMTAyNTAifQ"
"TJK","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJUSksiLCJwIjoiMTAyMjcifQ"
"TKM","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJUS00iLCJwIjoiMTAyMjcifQ"
"TON","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJUT04iLCJwIjoiMTAyMjcifQ"
"TTO","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJUVE8iLCJwIjoiMTAyMjcifQ"
"TUN","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJUVU4iLCJwIjoiMTAyMjcifQ"
"TUR","1499.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJUVVIiLCJwIjoiMTA0OTAifQ"
"TWN","990","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJUV04iLCJwIjoiMTAxOTAifQ"
"TZA","89900.0","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJUWkEiLCJwIjoiMTAzMDIifQ"
"UGA","34.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJVR0EiLCJwIjoiMTAyNTIifQ"
"UKR","34.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJVS1IiLCJwIjoiMTAyNTIifQ"
"URY","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJVUlkiLCJwIjoiMTAyMjcifQ"
"UZB","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJVWkIiLCJwIjoiMTAyMjcifQ"
"VCT","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJWQ1QiLCJwIjoiMTAyMjcifQ"
"VEN","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJWRU4iLCJwIjoiMTAyMjcifQ"
"VGB","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJWR0IiLCJwIjoiMTAyMjcifQ"
"VNM","999000","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJWTk0iLCJwIjoiMTAzNjIifQ"
"VUT","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJWVVQiLCJwIjoiMTAyMjcifQ"
"XKS","34.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJYS1MiLCJwIjoiMTAyNTIifQ"
"YEM","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJZRU0iLCJwIjoiMTAyMjcifQ"
"ZAF","599.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJaQUYiLCJwIjoiMTAyNzYifQ"
"ZMB","34.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJaTUIiLCJwIjoiMTAyNTIifQ"
"ZWE","34.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJaV0UiLCJwIjoiMTAyNTIifQ"
